User,Project,Library,Sample
YanTing,Pituitary,YT19021515_FKDL190725010-1a,YT19021515
YanTing,Pituitary,YT042502_TKR180401714,YT042502
YanTing,Pituitary,YT19021511_FKDL190725006-1a,YT19021511
YanTing,Pituitary,YT042505_TKR180401717,YT042505
YanTing,Pituitary,YT081609_TKR180801081_HTGTLCCXY_L7,YT081609
YanTing,Pituitary,YT041104_TKD181200872,YT041104
YanTing,Pituitary,YT041105_TKD181200873,YT041105
YanTing,Pituitary,YT19021514_FKDL190725009-1a,YT19021514
YanTing,Pituitary,YT19021510_FKDL190725005-1a,YT19021510
YanTing,Pituitary,YT19021520_FKDL190725015-1a,YT19021520
YanTing,Pituitary,YT050904_TKR180500510,YT050904
YanTing,Pituitary,YT19070302_FKDL190747113-1a,YT19070302
YanTing,Pituitary,YT191226-L99_FKDL192551843-1a,YT191226-L99
YanTing,Pituitary,YT191226-S15_FKDL192551833-1a,YT191226-S15
YanTing,Pituitary,YT101018_TKR181000289_HNG3VCCXY_L4,YT101018
YanTing,Pituitary,YT200111-L103_FKDL202555915-1a,YT200111-L103
YanTing,Pituitary,YT19070306_FKDL190747117-1a,YT19070306
YanTing,Pituitary,YT081607_TKR180801079_HTGTLCCXY_L7,YT081607
YanTing,Pituitary,YT081612_TKR180801084_HTGTLCCXY_L8,YT081612
YanTing,Pituitary,YT013101_TKR180105122_HHWWYCCXY_L1,YT013101
YanTing,Pituitary,YT081613_TKR180801085_HTGTLCCXY_L8,YT081613
YanTing,Pituitary,YT040401_TKR180400241_HL72FCCXY_L2,YT040401
YanTing,Pituitary,YT042504_TKR180401716,YT042504
YanTing,Pituitary,YT191220-L86_FKDL192549747-1a-17,YT191220-L86
YanTing,Pituitary,YT191220-S14_FKDL192549739-1a-AK4676,YT191220-S14
YanTing,Pituitary,YT042704_TKR180401979,YT042704
YanTing,Pituitary,YT042501_TKR180401713,YT042501
YanTing,Pituitary,YT050907_TKR180500513,YT050907
YanTing,Pituitary,YT19070315_FKDL190747126-1a,YT19070315
YanTing,Pituitary,YT042701_TKR180401976,YT042701
YanTing,Pituitary,YT042703_TKR180401978,YT042703
YanTing,Pituitary,YT191220-L85_FKDL192549746-1a-AK3395,YT191220-L85
YanTing,Pituitary,YT041106_TKD181200874,YT041106
YanTing,Pituitary,YT041107_TKD181200875,YT041107
YanTing,Pituitary,YT040402_TKR180400242_HL72FCCXY_L3,YT040402
YanTing,Pituitary,YT050908_TKR180500514,YT050908
YanTing,Pituitary,YT101024_TKR181000295_HNG3VCCXY_L5,YT101024
YanTing,Pituitary,YT191220-S12_FKDL192549737-1a-26,YT191220-S12
YanTing,Pituitary,YT042709_TKR180401984,YT042709
YanTing,Pituitary,YT19021517_FKDL190725012-1a,YT19021517
YanTing,Pituitary,YT013102_TKR180105123_HHWWYCCXY_L2,YT013102
YanTing,Pituitary,YT19021504_FKDL190724999-1a,YT19021504
YanTing,Pituitary,YT19070318_FKDL190747129-1a,YT19070318
YanTing,Pituitary,YT191220-L90_FKDL192549751-1a-AK4676,YT191220-L90
YanTing,Pituitary,YT200111-L100_FKDL202555912-1a,YT200111-L100
YanTing,Pituitary,YT040404_TKR180400244_HL72FCCXY_L5,YT040404
YanTing,Pituitary,YT19070303_FKDL190747114-1a,YT19070303
YanTing,Pituitary,YT19070308_FKDL190747119-1a,YT19070308
YanTing,Pituitary,YT042503_TKR180401715,YT042503
YanTing,Pituitary,yt-NH-L1,yt-NH-L1
YanTing,Pituitary,yt-NH-L2,yt-NH-L2
YanTing,Pituitary,yt-NH-L3,yt-NH-L3
YanTing,Pituitary,yt-NH-L4,yt-NH-L4
YanTing,Pituitary,yt-NH-L5,yt-NH-L5
YanTing,Pituitary,yt-NH-L6,yt-NH-L6
YanTing,Pituitary,yt-NH-S1,yt-NH-S1
YanTing,Pituitary,yt-NH-S2,yt-NH-S2
YanTing,Pituitary,yt-NH-S3,yt-NH-S3
